υπερλήμμα	λήμμα	CEF level	Συχνότητα (Frequency)	τύπος λέξης
	συνοικία	C1	817	ουσ.	
	φρουρά	C1	817	ουσ.	
	απογευματινός	C1	816	επίθ.	
	επίπεδος	C1	816	επίθ.	
	μεταβαίνω	C1	816	ρ.	
	προαναφέρω	C1	816	ρ.	
	ετοιμότητα	C1	815	ουσ.	
	καημένος	C1	815	επίθ.	
	όπερα	C1	815	κ.ό.
	φαράγγι	C1	815	ουσ.	
	γνωμοδότηση	C1	814	ουσ.	
	θολός	C1	814	επίθ., ουσ.
	καταπίεση	C1	814	ουσ.	
	συνεπής	C1	814	επίθ.	
	βαρύνω	C1	813	ρ.	
	αντίστροφα	C1	813	επίρρ., ουσ.
	ξεσηκώνω	C1	813	ρ.	
	ψευδής	C1	813	επίθ.	
	φιλόδοξος	C1	812	επίθ.	
	στάθμευση	C1	812	ουσ.	
	πλαστός	C1	811	επίθ.	
	πάρκινγκ, πάρκιν	C1	811	ουσ.	
	περίπατος	C1	811	ουσ.	
	φορολογώ	C1	810	ρ.	
	ευέλικτος	C1	810	επίθ.	
	επικράτηση	C1	809	ουσ.	
	ισοδύναμος	C1	809	επίθ.	
	συγκλονιστικός	C1	809	επίθ.	
	εφοπλιστής	C1	808	ουσ.	
	εγχείρηση	C1	808	ουσ.	
	επιτελώ	C1	808	ρ.	
	πειθαρχικός	C1	808	επίθ.	
	συγγραφή	C1	808	ουσ.	
	εγκυκλοπαίδεια	C1	807	ουσ.	
	μεταχείριση	C1	807	ουσ.	
	προμηθευτής	C1	807	ουσ.	
	ανακριτής	C1	806	ουσ.	
	μετανιώνω	C1	806	ρ.	
	ξαναβρίσκω	C1	806	ρ.	
	φόντο	C1	806	ουσ.	
	προλαμβάνω	C2	3287	ρ.	
	πράττω	C2	2201	ρ.	
	διαχειριστικός	C2	805	επίθ.	
	ναυπηγείο	C2	805	ουσ.	
	επερχόμενος	C2	805	επίθ., μτχ.
	θαρρώ	C2	805	ρ.	
	αλγόριθμος	C2	804	ουσ.	
	απόρρητος	C2	804	επίθ.	
	επιζώ	C2	804	ρ.	
	κλοπή	C2	804	ουσ.	
	συμβιβάζω	C2	804	ρ.	
	φλεγμονή	C2	804	ουσ.	
	δέσμη	C2	803	ουσ.	
	διακόπτης	C2	803	ουσ.	
	εντοπισμός	C2	803	ουσ.	
	κοροϊδεύω	C2	803	ρ.	
	ντοκιμαντέρ	C2	803	ουσ.	
	σκεύος	C2	803	ουσ.	
	ταλαιπωρία	C2	803	ουσ.	
	χρήστης	C2	803	ουσ.	
	βίλα	C2	802	ουσ.	
	στεγνώνω	C2	802	ρ.	
	εποχιακός	C2	801	επίθ.	
	εγκατάλειψη	C2	801	ουσ.	
	διοχετεύω	C2	800	ρ.	
	μυστικά	C2	800	επίρρ., επίθ., ουσ.
	βασανιστήριο	C2	800	ουσ.	
	διψάω	C2	800	ρ.	
	στεναχωρώ	C2	800	ρ.	
	οικολογία	C2	799	ουσ.	
	παράταση	C2	799	ουσ.	
	πιστά	C2	799	επίρρ., επίθ.
	φυτρώνω	C2	799	ρ.	
	ισχυρά	C2	798	επίρρ.	
	πλήγμα	C2	798	ουσ.	
	ριζικό	C2	798	ουσ.	
	αρνί	C2	798	ουσ.	
	συγκοινωνία	C2	798	ουσ.	
	σφαιρικός	C2	798	επίθ.	
	άθεος	C2	797	επίθ.	
	αφηρημένος	C2	797	επίθ.	
	εκπλήσσω, εκπλήττω	C2	797	ρ.	
	φοίνικας	C2	797	ουσ.	
	άλμα	C2	796	ουσ.	
	γεύομαι	C2	796	ρ.	
	δημοτική	C2	796	ουσ., επίθ.
	εθελοντικός	C2	796	επίθ.	
	έπος	C2	796	ουσ.	
	συσχετισμός	C2	796	ουσ.	
	υποκατάστημα	C2	795	ουσ.	
	εξασκώ	C2	795	ρ.	
	θεραπευτικός	C2	795	επίθ.	
	μεταβατικός	C2	795	επίθ.	
	συνάπτω	C2	795	ρ.	
συνάπτω	συνάπτω συμφωνία			ρηματική φράση	
	συνειδητά	C2	795	επίρρ., επίθ.
	ταυτόχρονος	C2	795	επίθ.	
	κανονιστικός	C2	794	επίθ.	
	δαπανώ	C2	793	ρ.	
	κράνος	C2	793	ουσ.	
	περιστρέφω	C2	793	ρ.	
	πολεμιστής	C2	793	ουσ.	
	πολύχρωμος	C2	793	επίθ.	
	οπίσθιος	C2	792	επίθ.	
	συμμορφώνω	C2	791	ρ.	
	εορτασμός	C2	791	ουσ.	
	καπέλο	C2	791	ουσ.	
	ονομαστικός	C2	791	επίθ.	
	τωρινός	C2	791	επίθ.	
	εντυπωσιακά	C2	790	επίρρ., επίθ.
	διευθύνω	C2	790	ρ.	
	ευτυχής	C2	790	επίθ.	
	καθιέρωση	C2	790	ουσ.	
	πλημμυρίζω	C2	790	ρ.	
	προτρέπω	C2	790	ρ.	
	συνταξιούχος	C2	790	ουσ.	
	τετραγωνικός	C2	790	επίθ.	
	ψυχαγωγία	C2	790	ουσ.	
	επωφελούμαι	C2	789	ρ.	
	προσδοκώ	C2	789	ρ.	
	ανθίζω	C2	789	ρ.	
	διάλειμμα	C2	789	ουσ.	
	νότα	C2	789	ουσ.	
	ξαφνικός	C2	789	επίθ.	
	συνυπάρχω	C2	789	ρ.	
	βαφτίζω	C2	788	ρ.	
	διασφάλιση	C2	788	ουσ.	
	ισότιμος	C2	788	επίθ.	
	μήνυση	C2	788	ουσ.	
	στρες	C2	788	ουσ.	
	θαυμαστός	C2	787	επίθ.	
	λιανικός	C2	786	επίθ.	
	ταξινομώ	C2	785	ρ.	
	τεχνίτης	C2	785	ουσ.	
	τσακώνω	C2	785	ρ.	
	φύλαξη	C2	785	ουσ.	
	αξιοσημείωτος	C2	784	επίθ.	
	απογραφή	C2	784	ουσ.	
	συμπολίτης	C2	784	ουσ.	
	συμμερίζομαι	C2	783	ρ.	
	αιμορραγία	C2	783	ουσ.	
	αντιδραστικός	C2	783	επίθ.	
	κλινικός	C2	783	επίθ., ουσ.
	μηδενικός	C2	783	επίθ.	
	πεύκο	C2	783	ουσ.	
	ασβέστιο	C2	782	ουσ.	
	ευεργετικός	C2	782	επίθ.	
	πρόσχημα	C2	782	ουσ.	
	αντεπίθεση	C2	781	ουσ.	
	αποφασιστικά	C2	781	επίρρ.	
	επικύρωση	C2	781	ουσ.	
	κότα	C2	781	ουσ.	
	συνήγορος	C2	781	ουσ.	
	μετοχικός	C2	780	επίθ.	
	πρωταγωνιστώ	C2	780	ρ.	
	γέρνω	C2	780	ρ.	
	μαρτύριο	C2	780	ουσ.	
	προδοσία	C2	780	ουσ.	
	παρανομία	C2	779	ουσ.	
	διάσωση	C2	779	ουσ.	
	καθαριότητα	C2	779	ουσ.	
	λιμένας	C2	779	ουσ.	
	ανασχηματισμός	C2	778	ουσ.	
	εκνευρίζω	C2	778	ρ.	
	έκβαση	C2	777	ουσ.	
	συμμορία	C2	777	ουσ.	
	εγκληματίας	C2	777	ουσ.	
	κούκλα	C2	777	ουσ.	
	βομβαρδισμός	C2	776	ουσ.	
	σταδιακός	C2	776	επίθ.	
	συνοπτικός	C2	776	επίθ.	
	τσιμπάω, τσιμπώ	C2	776	ρ.	
	βομβαρδίζω	C2	775	ρ.	
	νομιμότητα	C2	775	ουσ.	
	Φεβρουάριος	C2	775	κ.ό.
	γίγαντας	C2	774	ουσ., επίθ.
	νεφρό	C2	774	ουσ.	
	χαρακτηριστικός	C2	774	επίθ.	
	αναταραχή	C2	773	ουσ.	
	χερσόνησος	C2	773	ουσ.	
	θάμνος	C2	773	ουσ.	
	βότανο	C2	772	ουσ.	
	προδότης	C2	772	ουσ.	
	συμπαίκτης	C2	771	ουσ.	
	κυνηγετικός	C2	771	επίθ.	
	τριβή	C2	770	ουσ.	
	επικίνδυνα	C2	770	επίρρ., επίθ.
	οικοδόμηση	C2	770	ουσ.	
	αυθαίρετα	C2	769	επίρρ., επίθ., ουσ.
	αγαθός	C2	769	επίθ.	
	ακουστική	C2	769	ουσ., επίθ.
	κοντεύω	C2	769	ρ.	
	πληροφοριακός	C2	769	επίθ.	
	γνωστοποιώ	C2	768	ρ.	
	ηπειρωτικός	C2	768	επίθ.	
	κοπάδι	C2	768	ουσ.	
	συμπατριώτης	C2	768	ουσ.	
	υπέρτατος	C2	768	επίθ.	
	συγκριτικά	C2	767	επίρρ., επίθ.
	αισιοδοξία	C2	767	ουσ.	
	έβδομος	C2	767	τακτ., αριθ.
	εισαγωγικός	C2	767	επίθ.	
	ιδρυτικός	C2	767	επίθ.	
	ίσιος	C2	767	επίθ.	
	μύλος	C2	767	ουσ.	
	ροπή	C2	767	ουσ.	
	υπηρεσιακός	C2	767	επίθ.	
	αλλεργία	C2	766	ουσ.	
	εξελικτικός	C2	766	επίθ.	
	θήκη	C2	766	ουσ.	
	φωτογράφος	C2	766	ουσ.	
	αποφασιστικότητα	C2	765	ουσ.	
	δίχτυ	C2	765	ουσ.	
	δυναμικά	C2	765	επίρρ., επίθ., ουσ.
	εθνικιστής	C2	765	ουσ.	
	κατανέμω	C2	765	ρ.	
	κηδεία	C2	765	ουσ.	
	ονοματεπώνυμο	C2	765	ουσ.	
	πλέγμα	C2	765	ουσ.	
	ρίσκο	C2	765	ουσ.	
	υποχώρηση	C2	765	ουσ.	
	αναμόρφωση	C2	764	ουσ.	
	σπουδαία	C2	764	επίρρ.	
	ανταγωνιστικότητα	C2	764	ουσ.	
	διευκόλυνση	C2	764	ουσ.	
	δυναμική	C2	764	ουσ., επίθ.
	επιδρώ	C2	764	ρ.	
	μαλώνω	C2	764	ρ.	
	ανέκαθεν	C2	763	επίρρ.	
	διερευνώ	C2	763	ρ.	
	κερνάω, κερνώ	C2	763	ρ.	
	παράνομα	C2	763	ουσ., επίθ., επίρρ., ουσ.
	σκορπίζω	C2	763	ρ.	
	μακροπρόθεσμος	C2	762	επίθ.	
	πρόχειρος	C2	762	επίθ.	
	επιχορηγώ	C2	761	ρ.	
	οριακός	C2	760	επίθ.	
	κακία	C2	759	ουσ.	
	λιοντάρι	C2	759	ουσ.	
	παραλιακός	C2	759	επίθ.	
	προσεχής	C2	759	επίθ.	
	αντάλλαγμα	C2	758	ουσ.	
	γοητεία	C2	758	ουσ.	
	παρενέργεια	C2	758	ουσ.	
	φυλάκιση	C2	758	ουσ.	
	αλλεργικός	C2	757	επίθ.	
	δυναμώνω	C2	757	ρ.	
	τεμάχιο	C2	757	ουσ.	
	ψήφος	C2	757	ουσ.	
	κυριότητα	C2	756	ουσ.	
	επιβάρυνση	C2	756	ουσ.	
	θερμίδα	C2	756	ουσ.	
	προστιθέμενος	C2	755	επίθ.	
	εναλλαγή	C2	755	ουσ.	
	αδικαιολόγητος	C2	754	επίθ.	
	διαίρεση	C2	754	ουσ.	
	αδένας	C2	753	ουσ.	
	αναχωρώ	C2	752	ρ.	
	ανιψιά, ανηψιά	C2	752	ουσ.	
	ψιχαλίζει	C2	752	ρ.	
	αιτιολογία	C2	751	ουσ.	
	προαναγγέλλω	C2	751	ρ.	
	απαιτητικός	C2	751	επίθ.	
	νομιμοποίηση	C2	751	ουσ.	
	πειρατής	C2	751	ουσ.	
	χαϊδεύω	C2	751	ρ.	
	αγώνισμα	C2	750	ουσ.	
	δικάζω	C2	750	ρ.	
	δοκίμιο	C2	750	ουσ.	
	εκτενής	C2	750	επίθ.	
	ζήλος	C2	750	ουσ.	
	χίλιοι	C2	750	αριθ.	
	κινητικότητα	C2	749	ουσ.	
	μειοψηφία	C2	749	ουσ.	
	παρίσταμαι	C2	749	ρ.	
	πατριώτης	C2	749	ουσ.	
	συγχωνεύω	C2	747	ρ.	
	ασυνήθιστος	C2	747	επίθ.	
	θερμοκήπιο	C2	747	ουσ.	
	συντονιστικός	C2	747	επίθ.	
	νησιωτικός	C2	746	επίθ.	
	ξεκάθαρα	C2	746	επίρρ., επίθ.
	ζύμη	C2	746	ουσ.	
	τινάζω	C2	746	ρ.	
	κερδοσκοπικός	C2	745	επίθ.	
	πλυντήριο	C2	745	ουσ.	
	ουρλιάζω	C2	744	ρ.	
	αποκαλυπτικός	C2	744	επίθ.	
	αριστούργημα	C2	744	ουσ.	
	μάγισσα	C2	744	ουσ.	
	λιτότητα	C2	743	ουσ.	
	αρσενικό	C2	743	ουσ., επίθ.
	καθυστερημένος	C2	743	επίθ., μτχ.
	ορθό	C2	743	ουσ., επίθ.
	στερεότυπος	C2	743	ουσ.	
	συσχετίζω	C2	743	ρ.	
	τσακίζω	C2	743	ρ.	
	άκουσμα	C2	742	ουσ.	
	βουτιά	C2	742	ουσ.	
	βραβεύω	C2	742	ρ.	
	ενοικιαζόμενος	C2	742	επίθ., μτχ.
	υπόδειξη	C2	742	ουσ.	
	αναλογώ	C2	741	ρ.	
	θαυμάσια	C2	738	επίρρ., επίθ., επιφ.
	κερδοφορία	C2	735	ουσ.	
	διέρχομαι	C2	731	ρ.	
	ψίθυρος	C2	730	ουσ., επίθ.
	υποβάθμιση	C2	729	ουσ.	
	δυσαρέσκεια	C2	726	ουσ.	
	σαφήνεια	C2	723	ουσ.	
	στέγαση	C2	721	ουσ.	
	νομοθέτης	C2	718	ουσ.	
	πειθαρχία	C2	716	ουσ.	
	γραπτά	C2	714	επίρρ., επίθ., ουσ.
	σωλήνας	C2	712	ουσ.	
	γκρινιάζω	C2	711	ρ.	
	οδυνηρός	C2	711	επίθ.	
	άλλοθι	C2	708	ουσ.	
	αποδοτικός	C2	708	επίθ.	
	συγκαλώ	C2	707	ρ.	
	επαγγελματικά	C2	704	επίρρ., επίθ.
	τοπικά	C2	702	επίρρ., επίθ.
	διαδικαστικός	C2	701	επίθ.	
	τριακόσιοι	C2	701	αριθ.	
	ανταποκριτής	C2	700	ουσ.	
	οικολόγος	C2	699	ουσ.	
	Αυστριακός	C2	699	επίθ., ουσ.
	δημοσιοποιώ	C2	699	ρ.	
	διαιτησία	C2	697	ουσ.	
	ισορροπώ	C2	697	ρ.	
	κρίσιμα	C2	696	επίρρ.	
	ασφυκτικός	C2	695	επίθ.	
	εκσυγχρονίζω	C2	692	ρ.	
	αιφνιδιάζω	C2	691	ρ.	
	ακεραιότητα	C2	690	ουσ.	
	ανάκριση	C2	690	ουσ.	
	αναμφισβήτητα	C2	690	επίρρ.	
	ρήτρα	C2	690	ουσ.	
	διαδέχομαι	C2	687	ρ.	
	πλημμύρα	C2	687	ουσ.	
	βραχυπρόθεσμος	C2	682	επίθ.	
	ανήμπορος	C2	679	επίθ.	
	ξανακάνω	C2	678	ρ.	
	πορτρέτο	C2	678	ουσ.	
	εξόφληση	C2	676	ουσ.	
	επαρκώς	C2	676	επίρρ.	
	βιομήχανος	C2	674	ουσ.	
	ώθηση	C2	673	ουσ.	
	διαρρέω	C2	673	ρ.	
	σιδηρόδρομος	C2	673	ουσ.	
	ακραία	C2	669	επίρρ.	
	απρόοπτος	C2	669	επίθ.	
	εκσυγχρονιστικός	C2	669	επίθ.	
	ερμηνευτικός	C2	669	επίθ.	
	μοιραία	C2	669	επίρρ.	
	φάτσα	C2	667	ουσ.	
	αδιανόητος	C2	667	επίθ.	
	καληνύχτα	C2	666	επιφ., ουσ.
	ενεργοποιούμαι	C2	665	ρ.	
	αναμφίβολα	C2	664	επίρρ., επίθ.
	εβδομήντα	C2	663	απόλ., αριθ.
	ριζικά	C2	663	επίρρ.	
	στελέχωση	C2	663	ουσ.	
	διακινώ	C2	662	ρ.	
	ματαιώνω	C2	661	ρ.	
	ντοκουμέντο	C2	659	ουσ.	
	χαιρετίζω	C2	659	ρ.	
	έτοιμα	C2	658	επίρρ., επίθ.
	γρίπη	C2	657	ουσ.	
γρίπη	γρίπη των χοίρων			έκφρ.	
	ηχογραφώ	C2	656	ρ.	
	απασχολούμενος	C2	656	επίθ.	
	ενεργά	C2	656	επίρρ.	
	γριά	C2	655	ουσ.	
	δικαιοδοσία	C2	655	ουσ.	
	αναμφίβολος	C2	655	επίθ.	
	κ.τλ.	C2	655	συντμ./σύντμηση	
	ματώνω	C2	653	ρ.	
	μοχλός	C2	653	ουσ.	
	περιοριστικός	C2	653	επίθ.	
	γκρίνια	C2	652	ουσ.	
	αποδυναμώνω	C2	652	ρ.	
	μπλοκάρω	C2	652	ρ.	
	ανέκδοτος	C2	651	επίθ.	
	επανεξετάζω	C2	650	ρ.	
	σκοράρω	C2	650	ρ.	
	πρακτορείο	C2	649	ουσ.	
	βαρέλι	C2	649	ουσ.	
	αλιευτικός	C2	648	επίθ.	
	ερπετό	C2	648	ουσ.	
	πρίγκιπας	C2	648	ουσ.	
	ελλιπής	C2	648	επίθ.	
	εμπρηστής	C2	647	ουσ.	
	κωμικός	C2	647	επίθ.	
	επικουρικός	C2	645	επίθ.	
	στελεχώνω	C2	645	ρ.	
	δυσφορία	C2	644	ουσ.	
	αποβολή	C2	643	ουσ.	
	χειρότερα	C2	643	επίρρ., επίθ.
	ρήγμα	C2	642	ουσ.	
	κλειστά	C2	641	επίρρ.	
	ψευδαίσθηση	C2	640	ουσ.	
	ανάμεσα	C2	639	πρόθ., επίρρ.
ανάμεσα	ανάμεσα σε			έκφρ.	
	ογδόντα	C2	638	απόλ., αριθ.
	εκπροσώπηση	C2	637	ουσ.	
	σιχαίνομαι	C2	636	ρ.	
	τακτικά	C2	636	επίρρ., επίθ.
	δημοπρασία	C2	635	ουσ.	
	πίστωση	C2	635	ουσ.	
	επιδεινώνω	C2	635	ρ.	
	προκαταβολή	C2	635	ουσ.	
	δεσμευτικός	C2	633	επίθ.	
	ναυτιλιακός	C2	633	επίθ.	
	παρακάμπτω	C2	633	ρ.	
	πουκάμισο	C2	632	ουσ.	
	προπαντός	C2	632	επίρρ.	
	συλλαλητήριο	C2	631	ουσ.	
	αποδεικτικό	C2	630	ουσ., επίθ.
	ωφέλιμος	C2	630	επίθ.	
	διαδοχή	C2	627	ουσ.	
	επιλεκτικός	C2	627	επίθ.	
	αποδοκιμάζω	C2	626	ρ.	
	ανακαινίζω	C2	625	ρ.	
	δικηγορικός	C2	625	επίθ.	
	χειροκίνητος	C2	625	επίθ.	
	κάγκελο	C2	624	ουσ.	
	βιαστικός	C2	624	επίθ.	
	εκκρεμής	C2	624	επίθ.	
	γραφειοκρατικός	C2	623	επίθ.	
	μανιτάρι	C2	621	ουσ.	
	έντιμος	C2	620	επίθ.	
	κακοποιός	C2	619	επίθ., ουσ.
	διάβρωση	C2	618	ουσ.	
	διπλασιάζω	C2	618	ρ.	
	τηλεφώνημα	C2	617	ουσ.	
	εφάπαξ	C2	617	επίρρ., ουσ.
	ικανοποιητικά	C2	617	επίρρ.	
	υποκύπτω	C2	616	ρ.	
	βαλίτσα	C2	615	ουσ.	
	σεισμικός	C2	615	επίθ.	
	επιτήρηση	C2	612	ουσ.	
	πρόβα	C2	612	ουσ.	
	μεικτός	C2	611	επίθ.	
	παραμερίζω	C2	610	ρ.	
	μακροπρόθεσμα	C2	609	επίρρ., επίθ.
	μετάθεση	C2	607	ουσ.	
	αφομοιώνω	C2	604	ρ.	
	αποχέτευση	C2	602	ουσ.	
	ιδρώνω	C2	602	βοηθ. ρ.
	εγωισμός	C2	600	ουσ.	
	συγχώνευση	C2	600	ουσ.	
	ησυχάζω	C2	598	ρ.	
	αλεπού	C2	596	ουσ.	
	χάνι	C2	594	ουσ.	
	κινεζικός	C2	591	επίθ.	
	μαθητικός	C2	588	επίθ.	
	δακρύζω	C2	587	ρ.	
	ασανσέρ	C2	586	ουσ.	
	βιτρίνα	C2	586	ουσ.	
	σκουπίζω	C2	586	ρ.	
	αγγελικός	C2	584	επίθ.	
	φόρα	C2	583	ουσ.	
	λήμμα	C2	582	ουσ.	
	γάντι	C2	581	ουσ.	
	γουρούνι	C2	581	ουσ.	
	καταχώριση	C2	581	ουσ.	
	φασαρία	C2	578	ουσ.	
	κολλητός	C2	577	επίθ., ουσ.
	πάρτι	C2	577	ουσ.	
	απωθώ	C2	576	ρ.	
	ξαναέρχομαι	C2	575	ρ.	
	Τρίτη	C2	571	κ.ό.
	πρήζω	C2	570	ρ.	
	συμφορά	C2	569	ουσ.	
	φορτηγός	C2	568	επίθ., ουσ.
	φόρεμα	C2	566	ουσ.	
	κυριακάτικος	C2	561	επίθ.	
	πλοίαρχος	C2	561	ουσ.	
	δεοντολογία	C2	560	ουσ.	
	ατέλεια	C2	558	ουσ.	
	κρίκος	C2	556	ουσ.	
	μαυρίζω	C2	556	ρ.	
	πάω	C2	556	ρ.	
πάω	πάω στο σχολείο			ρηματική φράση	
πάω	τα πάω καλά			ρηματική φράση	
	μονοπώλιο	C2	554	ουσ.	
	εξοχικός	C2	553	επίθ.	
	χορηγός	C2	552	ουσ.	
	έκτρωση	C2	550	ουσ.	
	εξουσιοδοτώ	C2	549	ρ.	
	συμπαθώ	C2	549	ρ.	
	μεσάνυχτα	C2	548	ουσ.	
	αυριανός	C2	547	επίθ.	
	τζάμπα	C2	546	επίρρ.	
	μετακομίζω	C2	545	ρ.	
	ανεπτυγμένος	C2	544	επίθ.	
	προάστιο	C2	543	ουσ.	
	ενοποιώ	C2	539	ρ.	
	πολίτευμα	C2	539	ουσ.	
	κυκλοφοριακός	C2	538	επίθ.	
	βραδινός	C2	537	επίθ.	
	ιππότης	C2	537	ουσ.	
	μάγουλο	C2	536	ουσ.	
	εγκληματικότητα	C2	535	ουσ.	
	λιβάδι	C2	534	ουσ.	
	ψύχραιμος	C2	534	επίθ.	
	σακούλα	C2	533	ουσ.	
	Τετάρτη	C2	532	ουσ.	
	χαμηλώνω	C2	531	ρ.	
	κοινόχρηστος	C2	528	επίθ.	
	μαχητής	C2	528	ουσ.	
	ξεκολλάω	C2	528	ρ.	
	πυροσβέστης	C2	528	ουσ.	
	υποκριτικός	C2	518	επίθ.	
	φαινομενικός	C2	518	επίθ.	
	ληστεία	C2	517	ουσ.	
	κάμψη	C2	517	ουσ.	
	ανακηρύσσω	C2	516	ρ.	
	αναστατώνω	C2	516	ρ.	
	βούλα	C2	516	ουσ.	
	μπαλέτο	C2	516	ουσ.	
	μεθυσμένος	C2	515	επίθ., μτχ.
	μεταφραστής	C2	515	ουσ.	
	πείσμα	C2	515	ουσ.	
	πρόλογος	C2	515	ουσ.	
	τέως	C2	515	επίθ., επίρρ., μόρ.
	χαροποιώ	C2	515	ρ.
	ορμάω, ορμώ	C2	514	ρ.	
	οριστικοποιώ	C2	513	ρ.	
	κουδούνι	C2	512	ουσ.	
	ένεση	C2	512	ουσ.	
	κάδος	C2	511	ουσ.	
	καμπάνια	C2	511	ουσ.	
	σφοδρός	C2	511	επίθ.	
	απατεώνας	C2	510	ουσ.	
	βιαστικά	C2	510	επίρρ., επίθ.
	φαξ	C2	510	ουσ.	
	αριθμητική	C2	510	ουσ., επίθ.
	διευθετώ	C2	510	ρ.	
	φυσιολογικά	C2	510	επίρρ., επίθ.
	μύγα	C2	509	ουσ.	
	γενετικά	C2	509	επίρρ.	
	φαρμακοποιός	C2	509	ουσ.	
	ξύπνιος	C2	508	επίθ.	
	εξαγοράζω	C2	508	ρ.	
